338.00,99.00,-128.00,-3.00,88.00,-2.00
335.00,100.00,-128.00,-3.00,88.00,-2.00
335.00,100.00,-118.00,-3.00,88.00,-2.00
336.00,100.00,-118.00,-3.00,88.00,-2.00
336.00,100.00,-128.00,-3.00,88.00,-2.00
333.00,101.00,-128.00,-3.00,88.00,-2.00
333.00,101.00,-118.00,-3.00,88.00,-2.00
332.00,101.00,-118.00,-3.00,88.00,-2.00
330.00,102.00,-118.00,-3.00,88.00,-2.00
330.00,103.00,-118.00,-3.00,88.00,-2.00
331.00,102.00,-118.00,-3.00,88.00,-2.00
329.00,103.00,-118.00,-3.00,88.00,-2.00
331.00,102.00,-118.00,-3.00,88.00,-2.00
329.00,103.00,-118.00,-3.00,88.00,-2.00
329.00,104.00,-118.00,-3.00,88.00,-2.00
328.00,104.00,-118.00,-3.00,88.00,-2.00
328.00,105.00,-118.00,-3.00,88.00,-2.00
326.00,105.00,-118.00,-3.00,88.00,-2.00
326.00,107.00,-118.00,-3.00,88.00,-2.00
325.00,107.00,-118.00,-3.00,88.00,-2.00
325.00,109.00,-118.00,-3.00,88.00,-2.00
324.00,109.00,-118.00,-3.00,88.00,-2.00
324.00,111.00,-118.00,-3.00,88.00,-2.00
323.00,111.00,-118.00,-3.00,88.00,-2.00
323.00,113.00,-118.00,-3.00,88.00,-2.00
322.00,113.00,-118.00,-3.00,88.00,-2.00
322.00,115.00,-118.00,-3.00,88.00,-2.00
321.00,115.00,-118.00,-3.00,88.00,-2.00
321.00,118.00,-118.00,-3.00,88.00,-2.00
320.00,119.00,-118.00,-3.00,88.00,-2.00
320.00,121.00,-118.00,-3.00,88.00,-2.00
319.00,121.00,-118.00,-3.00,88.00,-2.00
319.00,122.00,-118.00,-3.00,88.00,-2.00
319.00,123.00,-118.00,-3.00,88.00,-2.00
319.00,124.00,-118.00,-3.00,88.00,-2.00
318.00,124.00,-118.00,-3.00,88.00,-2.00
318.00,127.00,-118.00,-3.00,88.00,-2.00
317.00,128.00,-118.00,-3.00,88.00,-2.00
317.00,131.00,-118.00,-3.00,88.00,-2.00
316.00,131.00,-118.00,-3.00,88.00,-2.00
316.00,133.00,-118.00,-3.00,88.00,-2.00
315.00,133.00,-118.00,-3.00,88.00,-2.00
315.00,135.00,-118.00,-3.00,88.00,-2.00
315.00,136.00,-118.00,-3.00,88.00,-2.00
315.00,137.00,-118.00,-3.00,88.00,-2.00
314.00,137.00,-118.00,-3.00,88.00,-2.00
314.00,140.00,-118.00,-3.00,88.00,-2.00
313.00,140.00,-118.00,-3.00,88.00,-2.00
313.00,141.00,-118.00,-3.00,88.00,-2.00
312.00,141.00,-118.00,-3.00,88.00,-2.00
312.00,143.00,-118.00,-3.00,88.00,-2.00
312.00,144.00,-118.00,-3.00,88.00,-2.00
312.00,145.00,-118.00,-3.00,88.00,-2.00
311.00,145.00,-118.00,-3.00,88.00,-2.00
311.00,148.00,-118.00,-3.00,88.00,-2.00
311.00,149.00,-118.00,-3.00,88.00,-2.00
311.00,150.00,-118.00,-3.00,88.00,-2.00
310.00,150.00,-118.00,-3.00,88.00,-2.00
310.00,152.00,-118.00,-3.00,88.00,-2.00
309.00,153.00,-118.00,-3.00,88.00,-2.00
309.00,156.00,-118.00,-3.00,88.00,-2.00
